x, y, xFulc, yFulc 
310, 336, 273, 708
309, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
309, 336, 273, 708
310, 337, 273, 708
309, 336, 273, 708
309, 336, 273, 708
309, 336, 273, 708
309, 337, 273, 708
309, 336, 273, 708
309, 336, 274, 708
309, 336, 273, 708
309, 336, 274, 708
308, 336, 274, 708
309, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
308, 336, 274, 708
307, 336, 274, 708
308, 336, 274, 708
307, 336, 274, 708
307, 336, 274, 708
307, 336, 274, 708
307, 336, 274, 708
307, 335, 274, 708
307, 336, 274, 708
307, 336, 274, 708
307, 336, 274, 708
307, 336, 274, 708
307, 336, 274, 708
306, 336, 274, 708
306, 336, 274, 708
306, 336, 274, 708
306, 336, 274, 708
306, 336, 274, 708
305, 336, 274, 708
306, 336, 274, 708
305, 336, 274, 708
306, 336, 274, 708
305, 336, 274, 708
305, 336, 274, 708
305, 336, 274, 708
305, 336, 274, 708
305, 336, 274, 708
305, 335, 274, 708
304, 335, 274, 708
305, 336, 274, 708
304, 336, 274, 708
304, 336, 274, 708
304, 336, 274, 708
304, 336, 274, 708
303, 336, 274, 708
304, 336, 274, 708
303, 336, 274, 708
303, 336, 274, 708
303, 336, 274, 708
303, 336, 274, 708
303, 336, 274, 708
303, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
302, 336, 274, 708
301, 336, 274, 708
301, 336, 274, 708
301, 336, 274, 708
301, 336, 274, 708
301, 336, 274, 708
301, 336, 274, 708
301, 336, 274, 708
300, 336, 274, 708
301, 336, 274, 708
300, 336, 274, 708
301, 336, 274, 708
300, 336, 274, 708
300, 336, 274, 708
300, 336, 274, 708
300, 335, 274, 708
300, 336, 274, 708
300, 336, 274, 708
299, 336, 274, 708
299, 336, 274, 708
300, 336, 274, 708
299, 336, 274, 708
299, 336, 274, 708
298, 336, 274, 708
298, 336, 274, 708
298, 336, 274, 708
298, 336, 274, 708
298, 336, 274, 708
297, 336, 274, 708
297, 336, 274, 708
297, 336, 274, 708
297, 336, 274, 708
296, 336, 274, 708
296, 336, 274, 708
296, 336, 274, 708
296, 336, 274, 708
296, 336, 274, 708
296, 336, 274, 708
296, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
295, 336, 274, 708
294, 336, 274, 708
294, 336, 274, 708
294, 336, 274, 708
294, 336, 274, 708
294, 336, 274, 708
294, 337, 274, 708
294, 336, 274, 708
293, 336, 274, 708
293, 336, 274, 708
293, 336, 274, 708
293, 336, 274, 708
293, 336, 274, 708
293, 336, 274, 708
293, 336, 274, 708
292, 336, 274, 708
292, 336, 274, 708
292, 336, 274, 708
292, 336, 274, 708
291, 336, 274, 708
291, 336, 274, 708
291, 336, 274, 708
291, 336, 274, 708
291, 336, 274, 708
291, 336, 274, 708
290, 336, 274, 708
290, 336, 274, 708
290, 336, 274, 708
290, 336, 274, 708
290, 337, 274, 708
290, 336, 274, 708
289, 336, 274, 708
289, 336, 274, 708
289, 336, 274, 708
289, 337, 274, 708
288, 336, 274, 708
288, 336, 274, 708
288, 336, 274, 708
288, 336, 274, 708
288, 336, 274, 708
288, 336, 274, 708
288, 336, 274, 708
288, 336, 274, 708
287, 336, 274, 708
287, 336, 274, 708
287, 336, 274, 708
287, 336, 274, 708
287, 336, 274, 708
286, 336, 274, 708
286, 336, 274, 708
286, 336, 274, 708
286, 336, 274, 708
286, 336, 274, 708
286, 336, 274, 708
285, 336, 274, 708
285, 336, 274, 708
285, 336, 274, 708
285, 337, 274, 708
284, 336, 274, 708
284, 336, 274, 708
284, 336, 275, 709
284, 336, 275, 709
284, 337, 275, 709
284, 336, 275, 709
283, 336, 275, 709
282, 336, 275, 709
282, 336, 275, 709
282, 336, 275, 709
282, 336, 275, 709
282, 336, 275, 709
283, 337, 275, 709
282, 336, 275, 709
282, 336, 275, 709
281, 336, 275, 709
281, 336, 275, 709
281, 336, 275, 709
281, 337, 275, 709
281, 336, 275, 709
280, 336, 275, 709
280, 336, 275, 709
280, 336, 275, 709
280, 336, 276, 709
280, 336, 276, 709
280, 336, 275, 709
279, 337, 276, 709
280, 337, 275, 709
279, 336, 276, 709
279, 337, 275, 709
279, 337, 276, 709
279, 337, 276, 709
278, 337, 276, 709
278, 337, 276, 709
278, 337, 276, 709
278, 337, 276, 709
277, 337, 276, 709
277, 337, 276, 709
277, 337, 276, 709
276, 337, 276, 709
276, 337, 276, 709
276, 337, 276, 710
276, 337, 276, 710
276, 337, 276, 710
275, 336, 276, 710
275, 337, 276, 709
275, 337, 276, 709
275, 337, 276, 709
275, 337, 276, 709
275, 337, 276, 709
274, 337, 276, 709
274, 337, 276, 709
274, 337, 276, 709
274, 337, 276, 709
274, 337, 276, 709
274, 337, 276, 709
273, 337, 276, 709
273, 337, 276, 709
273, 337, 276, 709
273, 337, 276, 709
273, 337, 276, 709
273, 337, 276, 709
273, 337, 276, 709
272, 337, 276, 709
272, 337, 276, 709
272, 337, 276, 709
272, 337, 277, 710
272, 337, 277, 710
271, 337, 276, 709
271, 337, 276, 709
271, 337, 276, 709
271, 337, 276, 709
271, 337, 276, 709
270, 337, 276, 709
270, 337, 276, 709
270, 338, 276, 709
270, 338, 276, 709
270, 338, 276, 709
269, 337, 276, 709
269, 338, 276, 709
269, 338, 276, 709
269, 338, 276, 709
269, 338, 276, 709
269, 338, 276, 709
268, 337, 276, 709
268, 338, 276, 709
268, 338, 276, 709
268, 338, 276, 709
268, 338, 276, 709
268, 338, 276, 709
268, 338, 276, 709
267, 338, 276, 709
267, 338, 276, 709
267, 338, 276, 709
267, 338, 276, 709
267, 338, 276, 709
267, 338, 276, 709
266, 338, 276, 709
266, 338, 276, 709
266, 338, 276, 709
266, 338, 276, 709
266, 338, 276, 709
266, 339, 276, 709
266, 339, 276, 709
265, 338, 276, 709
265, 338, 276, 709
265, 339, 276, 709
265, 338, 276, 709
264, 338, 276, 709
264, 338, 276, 709
264, 338, 276, 709
264, 339, 276, 709
264, 338, 276, 709
264, 339, 276, 709
263, 338, 276, 709
263, 339, 276, 709
263, 338, 276, 709
263, 338, 276, 709
263, 338, 276, 709
263, 339, 276, 709
262, 338, 276, 709
262, 338, 276, 709
262, 338, 276, 709
261, 339, 276, 709
262, 338, 276, 709
262, 338, 276, 709
261, 338, 276, 709
261, 338, 276, 709
261, 338, 276, 709
261, 338, 276, 709
261, 338, 276, 709
261, 338, 276, 709
261, 339, 276, 709
260, 338, 276, 709
260, 338, 276, 709
260, 338, 276, 709
260, 339, 276, 709
260, 338, 276, 709
259, 338, 276, 709
259, 338, 277, 709
259, 337, 276, 709
259, 337, 276, 709
258, 339, 276, 709
259, 339, 276, 709
258, 338, 276, 709
258, 338, 276, 709
258, 339, 276, 709
258, 339, 276, 709
257, 338, 276, 709
257, 337, 276, 709
257, 339, 276, 709
257, 337, 276, 709
257, 337, 276, 710
257, 337, 276, 709
257, 338, 276, 709
256, 337, 276, 709
256, 337, 276, 709
256, 339, 276, 709
255, 336, 276, 709
256, 337, 276, 709
256, 339, 276, 709
255, 337, 276, 709
255, 337, 276, 709
255, 337, 276, 709
255, 337, 276, 709
255, 337, 276, 709
254, 337, 276, 709
253, 337, 276, 709
254, 339, 276, 709
254, 338, 276, 709
254, 338, 276, 709
254, 338, 276, 709
252, 337, 276, 709
254, 338, 276, 709
252, 337, 276, 709
253, 337, 276, 709
253, 338, 276, 709
252, 337, 276, 709
252, 337, 276, 709
252, 337, 276, 709
250, 337, 276, 709
250, 337, 276, 709
